127.0.0.1 - - [15/Nov/2010:14:12:07 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:19 +0100] "GET /jira/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/com.atlassian.auiplugin:ajs.css HTTP/1.1" 200 16261
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/secure/Dashboard.jspa HTTP/1.1" 200 30354
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.dashboard:dashboard/com.atlassian.gadgets.dashboard:dashboard.css HTTP/1.1" 200 28501
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.0/_/download/batch/jira.webresources:global-static/jira.webresources:global-static.css?media=print HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/com.atlassian.auiplugin:ajs.js HTTP/1.1" 200 465354
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.0/_/download/batch/jira.webresources:global-static/jira.webresources:global-static.css HTTP/1.1" 200 117793
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.dashboard:dashboard/com.atlassian.gadgets.dashboard:dashboard.js HTTP/1.1" 200 155876
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.embedded:gadget-core-resources/com.atlassian.gadgets.embedded:gadget-core-resources.js HTTP/1.1" 200 38555
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.embedded:gadget-container-resources/com.atlassian.gadgets.embedded:gadget-container-resources.js HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.1.5.1/_/download/batch/com.atlassian.gadgets.dashboard:gadget-dashboard-resources/com.atlassian.gadgets.dashboard:gadget-dashboard-resources.js HTTP/1.1" 200 13569
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/_/favicon.ico HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/_/images/icons/favicon.png HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.0/_/download/batch/jira.webresources:header/jira.webresources:header.js HTTP/1.1" 200 22739
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:27 +0100] "GET /jira/s/531/2/1.0/_/download/batch/jira.webresources:key-commands/jira.webresources:key-commands.js HTTP/1.1" 200 22976
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:28 +0100] "GET /jira/s/531/2/1.0/_/download/resources/jira.webresources:global-static/global.css HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:28 +0100] "GET /jira/s/531/2/1.0/_/download/batch/jira.webresources:jira-global/jira.webresources:jira-global.js HTTP/1.1" 200 114079
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/rest/api/1.0/shortcuts/531/c76e82fdebd816afbcdfca788344f04c/shortcuts.js HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/s/531/2/_/images/jira111x30.png HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/images/shadow/rt.png HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/images/shadow/l.png HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/images/shadow/r.png HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [15/Nov/2010:14:12:30 +0100] "GET /jira/s/531/2/2.1.3/_/download/batch/com.atlassian.auiplugin:ajs/images/shadow/lb.png HTTP/1.1" 200 386
